Año(aaaa)-Mes(mm),Id Periodicidad,Tipo,Descripcion Nivel_1_español,Descripcion Nivel_2_español,Codigo Nivel_ 1,Codigo Nivel_ 2,Descripcion Nivel_3_español,Codigo Nivel_ 3,Valor,Version,Descripcion español
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Repos con la DGCPTN,1,0,Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Total,3,0,Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Depósitos Restringidos,,11,,,,0,Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,M1,,8,,,,"149347,71208365",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,M2<sup>1/</sup>,,9,,,,"556101,70255226",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,M3<sup>1/</sup>,,10,,,,"605540,33807171",Última,miles de millones de pesos colombianos
2020-11-30,3,MONETARIO,Total Depósitos <sup>2/</sup>,,13,,,,"523596,64147381",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Base monetaria,Efectivo,6,1,,,"84845,50895359",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Base monetaria,Reserva Bancaria,6,2,,,"30433,63803141",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Base monetaria,Total,6,3,,,"115279,146985",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Bonos en poder del Banco de la República,,13,,,,"252,203",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,CDT en poder el Banco de la República,,12,,,,"5667,6639",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Bonos <sup>1/</sup>,7,6,,,"32471,8147412",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,CDT <sup>1/</sup>,2,"166235,9162867",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,Cuentas de ahorro,1,"240542,80184018",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,TOTAL<sup>1/</sup>,3,"406778,71812688",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector privado,1,"50173,4267442",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector público,2,"11825,04477662",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Total,3,"61998,47152085",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cédulas,7,5,,,0,Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Depósitos fiduciarios,7,4,,,"8112,32321904",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Otros depósitos a la vista,7,3,,,"6524,20822246",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Total Depósitos en poder del público  <sup>1/</sup>,7,8,,,"515885,53583043",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Repos con entidades no financieras,2,0,Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Repos con la DGCPTN,1,0,Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Total,3,0,Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Depósitos Restringidos,,11,,,,0,Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,M1,,8,,,,"146843,98047444",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,M2<sup>1/</sup>,,9,,,,"553622,69860132",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,M3<sup>1/</sup>,,10,,,,"600731,04478402",Última,miles de millones de pesos colombianos
2020-10-31,3,MONETARIO,Total Depósitos <sup>2/</sup>,,13,,,,"521805,40273043",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Base monetaria,Efectivo,6,1,,,"85480,47067347",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Base monetaria,Reserva Bancaria,6,2,,,"27515,43069953",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Base monetaria,Total,6,3,,,"112995,901373",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Bonos en poder del Banco de la República,,13,,,,"266,203",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,CDT en poder el Banco de la República,,12,,,,"6127,3939",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Bonos <sup>1/</sup>,7,6,,,"32858,10029498",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,CDT <sup>1/</sup>,2,"169443,25621703",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,Cuentas de ahorro,1,"235949,00032039",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuasidineros <sup>1/</sup>,7,2,TOTAL<sup>1/</sup>,3,"405392,25653742",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector privado,1,"47891,85102352",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Del sector público,2,"11031,77335123",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cuentas Corrientes,7,1,Total,3,"58923,62437472",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Cédulas,7,5,,,0,Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Depósitos fiduciarios,7,4,,,"8290,3050376",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Otros depósitos a la vista,7,3,,,"6001,15289593",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,Total Depósitos en poder del público  <sup>1/</sup>,7,8,,,"511465,43914065",Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Repos con entidades no financieras,2,0,Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Repos con la DGCPTN,1,0,Última,miles de millones de pesos colombianos
2020-09-30,3,MONETARIO,Depósitos en poder del público <sup>1/</sup>,"Total Repos, Simultáneas y Transferencia Temporal de Valores (TTV) con el sector real",7,7,Total,3,0,Última,miles de millones de pesos colombianos
