Clasificación de la Entidad,Código de Clasificación de la Entidad,Cuenta,Clase de Cuenta,Código de Cuenta,Tipo de Cuenta,Año semana,Tasa,Formato Id,Monto,Orden,Total
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200435,"25,6437300180133",500,"148318,4668",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200436,"25,6822025583952",500,"130118,65995",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200437,"25,7652152431509",500,"152170,18303",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200438,"25,7767658373676",500,"142933,9635",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200439,"25,7626246719304",500,"159695,80289",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200440,"25,4951387502002",500,"120957,46234",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200441,"25,3784195046369",500,"148960,23474",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200442,"25,5054882422152",500,"126485,76206",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200443,"25,2460602030581",500,"201465,49282",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200444,"25,7354180517111",500,"114300,17615",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200445,"25,7101698860133",500,"162354,99738",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200446,"25,9973308288882",500,"140682,80009",999950,"12,8621447900894"
Bancos comerciales,1201,Crédito de consumo,Crédito de consumo,088-999950,Crédito de consumo,200447,"25,9066539255249",500,"174066,56474",999950,"12,8621447900894"
